
Book: The Reading List,The Reading List
A coup d'etat gone awry. A renegade British monarch on the run in Berlin. Robotic alien invaders from a wormhole wreaking havoc in the USA. Can disgraced worldwalker Rita and her intertemporal agent of a mother neutralize the livewire contention before it's too late?,
Book: Coming Soon,"Lost Mountain Pass – (Book 1 in the Trusty Dawson, US Deputy Marshall series)"
"Sweazy, Larry D.",
A lawman's grave mistake sends him gunning for justice against a gang whose violent trail of bloodshed ends at Lost Mountain Pass.,
Book: The Magician,The Magician
"Toibin, Colm",
"An epic family saga set across a half century spanning WWI, the rise of Hitler, WWII, and the Cold War.",
"Book: No Gods, No Monsters","No Gods, No Monsters – (Book 1 in the No Gods, No Monsters series)"
"Turnbull, Cadwell",
"One day, Laina gets the news that her brother was shot and killed by Boston cops. But what looks like police brutality soon reveals something much stranger. Monsters are real, and they want everyone to know it.",
Book: The Last House on Needless Street,The Last House on Needless Street
"Ward, Catriona",
"This is the story of a murderer, a stolen child, and revenge. The story of Ted, who lives with his daughter and his cat in an ordinary house at the end of an ordinary street. Or does he?",
Book: Harlem Shuffle,Harlem Shuffle
"Whitehead, Colson",
"A family saga masquerading as a crime novel, a hilarious morality play, a social novel about race and power, and ultimately a love letter to Harlem.",
